ra,dec,fil,obj
159.909414,4.37567,i,LIGO/Virgo
160.735906,5.81606,i,LIGO/Virgo
161.560633,7.24657,i,LIGO/Virgo
159.853211,7.29087,i,LIGO/Virgo
163.208209,10.07602,i,LIGO/Virgo
164.942,10.00699,i,LIGO/Virgo
159.036297,5.85056,i,LIGO/Virgo
158.217,4.40083,i,LIGO/Virgo
159.080272,2.92586,i,LIGO/Virgo
162.384453,8.66671,i,LIGO/Virgo
161.61139,4.34901,i,LIGO/Virgo
162.444939,5.77955,i,LIGO/Virgo
164.032728,11.47408,i,LIGO/Virgo
165.775949,11.39323,i,LIGO/Virgo
166.612062,12.76729,i,LIGO/Virgo
164.858828,12.86043,i,LIGO/Virgo
164.109399,8.609,i,LIGO/Virgo
163.277324,7.1997,i,LIGO/Virgo
166.684429,9.93415,i,LIGO/Virgo
